Date,Q_AguaV  2 \ Reach,Q_AguaV  4 \ Reach,Q_AS1  2 \ Reach,Q_AS2  2 \ Reach,Q_Cam  2 \ Reach,Q_Chanch  2 \ Reach,Q_DelP  2 \ Reach,Q_Honda  2 \ Reach,Q_Mait  2 \ Reach,Q_S_N_2  2 \ Reach,Q_S_N_3  2 \ Reach,Q_S_N_5  2 \ Reach,Q_S_N_6  2 \ Reach,Q_S_N_7  2 \ Reach,Q_S_N1  2 \ Reach
1994-04-01,6452.1014399999995,19416.0672,3973.6656,3973.6656,47104.329600000005,6764.10048,3435.53184,39707.3664,12963.974400000001,5938.13376,2151.91296,4310.3664,2186.3952,4328.50176,16931.8944
1994-05-01,5872.19328,17578.2528,3593.4796800000004,3593.4796800000004,41931.648,5606.098559999999,2863.2614399999998,35387.712,11706.076799999999,5396.6736,1913.31072,3854.48544,1968.31296,3827.6755200000002,15145.488000000001
1994-06-01,5961.7296,17456.8608,3533.7686400000002,3533.7686400000002,40523.328,5047.5312,5693.3971200000005,35949.6576,11495.1744,5329.90368,3671.63712,5594.037120000001,1927.4803200000001,3697.56576,14690.5056
1994-07-01,5482.80576,16072.6464,3275.96832,3275.96832,37256.112,4348.87488,5278.58208,31405.881599999997,10589.8752,4979.93184,3551.06592,4050.83808,1794.9945599999999,3414.9340800000004,13377.1392
1994-08-01,5178.19392,15147.648000000001,3089.49984,3089.49984,35019.648,3928.80672,3037.23648,28927.2384,9969.4368,4769.38368,2279.62944,3391.83936,1709.09568,3217.74336,12483.849600000001
1994-09-01,5054.03712,14737.5072,3003.09984,3003.09984,33654.009600000005,6744.00384,2222.77824,27720.0576,9683.4528,4691.8656,1780.03008,3128.6822399999996,1662.22368,3085.9919999999997,12027.312
1994-10-01,4636.29312,13476.24,2743.1827200000002,2743.1827200000002,30335.9904,9165.1392,1741.40928,25018.2432,8839.9296,4329.48672,1439.3721600000001,2793.33792,1513.728,2770.46784,10889.424
1994-11-01,4570.7328,13245.6384,2692.30176,2692.30176,29411.510400000003,9596.7072,1606.9017600000002,24299.913600000003,8674.9056,4291.704,1375.03872,2732.06304,1481.4576,2677.25952,10594.2816
1994-12-01,4236.77088,12250.224,2485.4256,2485.4256,26861.8464,9260.4384,1411.13664,22224.7584,8013.418559999999,4003.44768,1253.016,2525.83488,1365.7679999999998,2440.93824,9690.9696
1995-01-01,4057.6463999999996,11709.878400000001,2370.65184,2370.65184,25390.0224,8705.664,1283.04,21032.2656,7652.22336,3859.25472,1183.61088,2414.64672,1303.06752,2304.25344,9162.288
1995-02-01,4295.49696,12368.5056,2498.44608,2498.44608,26543.7216,8966.592,1287.77472,22014.8064,8073.03456,4105.0368,1235.6064,2544.6096,1374.81408,2404.83168,9582.7104
1995-03-01,3691.18944,10598.0832,2137.11264,2137.11264,22508.582400000003,7497.38592,1041.56064,18692.8128,6906.9024,3534.5808,1044.97344,2166.07392,1175.82624,2031.34176,8140.098239999999
1995-04-01,3608.0294400000002,10322.8992,2079.3024,2079.3024,21678.192,7158.96576,949.8988800000001,18029.4336,6714.8956800000005,3455.5334399999997,1002.8707199999999,2089.7827199999997,1141.28352,1943.3779200000001,7867.53216
1995-05-01,3292.4880000000003,9384.6816,1888.71264,1888.71264,19471.7088,6419.58048,804.86784,16218.8352,6092.228160000001,3153.2976,897.28128,1880.6256,1032.57504,1731.04992,7100.8704
1995-06-01,3203.2368,9096.624,1829.20896,1829.20896,18655.056,6181.4016,726.230016,15553.9008,5893.36992,3069.26496,855.8568,1804.88736,995.76,1642.80096,6835.43232
1995-07-01,2925.0979199999997,8276.7744,1662.7680000000003,1662.7680000000003,16807.392,5613.03648,618.064128,14011.1424,5351.67648,2802.0211200000003,767.464416,1625.2272,902.3270400000001,1466.3548799999999,6181.099200000001
1995-08-01,2768.4979200000002,7805.306879999999,1566.72576,1566.72576,15696.0288,5291.38656,547.65504,13083.12,5036.80896,2650.82976,714.028608,1517.9443199999998,847.351584,1357.4736,5796.610559999999
1995-09-01,2716.5456,7638.312959999999,1531.88928,1531.88928,15242.4288,5174.53056,505.269792,12767.241600000001,4921.76736,2603.94048,689.30352,1492.0848,827.183232,1308.89952,5637.168
1995-10-01,2505.65184,7030.9382399999995,1408.8902400000002,1408.8902400000002,13928.2848,4837.51872,440.632224,11652.5088,4525.2864,2411.64,626.342112,1356.47136,759.7903680000001,1189.24416,5154.26112
1995-11-01,2479.93056,6944.2963199999995,1390.3488,1390.3488,13624.3296,4953.32928,415.353312,11409.206400000001,4464.36576,2402.41248,611.8001280000001,1336.74624,747.4602239999999,1157.7168,5055.83424
1995-12-01,2309.13504,6456.525119999999,1290.87648,1290.87648,12559.8816,4892.2272,371.14848,10532.16,4147.39008,2252.18016,563.390208,1244.0736,693.1872000000001,1064.1455999999998,4665.80736
1996-01-01,2222.08704,6205.05792,1238.31936,1238.31936,11983.161600000001,4859.611199999999,343.338912,10061.4528,3982.97088,2181.4704,536.648544,1197.13248,665.480448,1013.0486400000001,4452.67584
1996-02-01,2279.00736,6353.7004799999995,1265.78592,1265.78592,12184.991999999998,4974.72192,337.315104,10243.6704,4074.6931200000004,2249.32032,544.472064,1224.92736,680.703264,1026.68256,4531.5504
1996-03-01,2033.9424,5658.4915200000005,1125.9648,1125.9648,10770.1056,4456.58112,285.85353599999996,9065.2608,3624.54912,2013.19776,479.6064,1085.59008,604.97712,902.38752,4013.7120000000004
1996-04-01,1998.2592,5542.292160000001,1102.48992,1102.48992,10520.409599999999,4398.399359999999,273.33504,8913.1968,3544.0329599999995,1982.54304,471.93321599999996,1100.07936,592.959744,875.03328,3911.4316799999997
1996-05-01,1833.9868800000002,5070.85056,1009.03968,1009.03968,9597.8304,4066.5196800000003,229.25203199999999,8124.839999999999,3236.87232,1824.19776,420.044832,963.4809600000001,542.668032,791.900064,3563.51616
1996-06-01,1797.5347199999999,4955.204159999999,985.79808,985.79808,9304.1568,4021.5312,210.576672,7873.00128,3157.66944,1787.3136,404.26991999999996,927.7372799999999,528.4163520000001,761.13648,3468.9340800000004
1996-07-01,1651.86432,4535.06688,901.1347199999999,901.1347199999999,8446.1616,3730.09536,650.058048,7142.100480000001,2883.20256,1644.81408,817.06752,839.66112,481.37760000000003,684.1454399999999,3160.45152
1996-08-01,1672.03872,4488.55776,892.34784,892.34784,8428.54464,3579.9321600000003,2779.7731200000003,7227.9648,2816.5190399999997,1659.6057600000001,2550.68352,1981.8172799999998,474.81897599999996,680.6998080000001,3170.448
1996-09-01,1750.55904,4635.35136,925.9488000000001,925.9488000000001,8839.4112,3555.56736,1257.0768,7325.1302399999995,2884.7923200000005,1763.9337600000001,1272.43872,1250.5968,492.79708800000003,718.076448,3362.6016000000004
1996-10-01,1650.3955199999998,4343.78592,864.0691200000001,864.0691200000001,8217.58176,3316.77504,526.809312,6705.86688,2693.3903999999998,1680.45408,623.919456,889.4361600000001,461.03212800000006,669.955104,3171.45024
1996-11-01,1643.9932800000001,4316.3366399999995,856.6732800000001,856.6732800000001,8087.6016,5708.89728,388.436256,6598.73088,2672.33472,1687.07232,469.023264,811.836864,456.509952,657.96624,3145.8671999999997
1996-12-01,1534.5071999999998,4024.9872,797.7035520000001,797.7035520000001,7488.00288,7887.55104,333.428832,6118.22592,2490.48,1586.85696,402.12547199999995,744.883776,424.744992,607.306464,2918.53152
1997-01-01,1478.3904,3875.80032,766.919232,766.919232,7171.5455999999995,7707.16512,308.20176,5866.776000000001,2397.40992,1540.14912,380.638656,717.3705600000001,408.73248,579.828672,2793.5971200000004
1997-02-01,1571.59008,4117.8067200000005,813.707424,813.707424,7581.14208,8134.31808,313.344288,6209.42976,2546.21664,1647.65664,400.125312,762.407424,434.035584,610.375392,2951.56224
1997-03-01,1354.07808,3543.93792,699.683616,699.683616,6488.61408,7033.936320000001,255.717216,5322.6806400000005,2189.85984,1426.0406400000002,340.300224,653.8838400000001,373.11580799999996,519.103296,2527.55424
1997-04-01,1326.38688,3464.93376,683.7402239999999,683.7402239999999,6301.83456,7002.43488,234.897408,5176.5696,2138.5468800000003,1400.6908799999999,328.140288,635.05296,363.883104,499.76352,2460.4646399999997
1997-05-01,1212.22656,3159.7862400000004,623.287008,623.287008,5714.22816,6425.0928,200.259648,4694.9328,1947.55968,1282.06368,294.840864,574.006176,331.039008,448.422912,2235.36672
1997-06-01,3404.3328,9362.0448,1723.05792,1723.05792,13345.776,6248.8368,67585.7088,17607.369599999998,5957.7033599999995,3276.78048,32761.4112,37182.672,929.9059199999999,1854.6191999999999,4828.7664
1997-07-01,5058.357120000001,16500.412800000002,3138.18624,3138.18624,23568.537600000003,5712.64704,28471.9104,20119.968,11442.0384,5899.383360000001,14680.742400000001,14328.489599999999,1814.63328,4140.64224,8399.84256
1997-08-01,24933.312,58341.340800000005,6362.487359999999,6362.487359999999,45515.520000000004,6824.615040000001,214465.536,98547.84000000001,33408.0288,17346.528000000002,91508.832,102929.18400000001,6892.32672,20582.208,19616.083199999997
1997-09-01,21550.32,64366.0128,10375.6032,10375.6032,70501.70880000001,8174.93472,47674.656,53008.992,42815.6928,21477.8304,28215.1296,35741.692800000004,8694.864,24250.8384,29366.064
1997-10-01,17314.6464,55778.8032,10013.76,10013.76,66183.264,7481.71296,20707.92,49744.1952,38464.1568,19026.4896,11170.3968,17077.2192,7391.874239999999,19041.1776,28616.0256
1997-11-01,15215.817599999998,51835.1616,9894.009600000001,9894.009600000001,64237.968,528756.7679999999,11123.395199999999,45662.659199999995,36619.344000000005,18010.5984,5674.536,9338.025599999999,6991.704,17354.304,27991.1808
1997-12-01,13773.7152,46944.31679999999,8999.9424,8999.9424,57992.543999999994,576596.448,8614.41696,41375.8368,33170.688,16417.9008,4076.2223999999997,7373.71296,6300.4176,15267.312,25268.0256
1998-01-01,13054.0032,44185.21920000001,8453.06496,8453.06496,54103.5072,185252.832,7501.48128,38764.483199999995,31131.216,15540.6816,3730.22496,6905.41632,5896.0656,13995.6768,23490.7776
1998-02-01,13678.934399999998,45990.0288,8780.140800000001,8780.140800000001,55873.929599999996,162990.144,7235.784000000001,40187.491200000004,32311.094399999998,16245.4464,3832.49664,7176.89376,6107.996160000001,14211.417599999999,24173.856
1998-03-01,11648.88,38882.9376,7412.230079999999,7412.230079999999,46860.9408,122066.78399999999,5653.3248,33827.4144,27234.0576,13763.1744,3195.4003199999997,6031.065600000001,5137.29216,11709.705600000001,20239.1136
1998-04-01,11297.663999999999,37432.6272,7127.06688,7127.06688,44772.6528,99054.144,5007.76992,32781.6288,26134.876800000002,13261.622399999998,3029.41728,5748.7968,4929.06816,11003.2992,19312.4736
1998-05-01,10240.473600000001,33674.4,6405.5145600000005,6405.5145600000005,39976.7616,77815.1232,4142.90592,29158.6176,23433.9264,11932.1856,2683.1088,5114.48256,4407.84288,9631.5264,17240.9472
1998-06-01,11333.952,35432.4672,6392.468159999999,6392.468159999999,40616.0352,66197.0016,14229.820800000001,35763.292799999996,24098.5152,12320.726400000001,8633.632319999999,11300.7744,4846.20192,10607.155200000001,16900.272
1998-07-01,10003.6512,32553.792,6076.192319999999,6076.192319999999,39219.3792,53631.935999999994,5626.7136,32148.403199999997,22550.140799999997,11269.7568,3948.0998400000003,7487.54496,4781.38464,10460.7936,15513.984
1998-08-01,9355.996799999999,30684.8736,5781.48192,5781.48192,36963.9072,45588.096,3819.8390400000003,28502.150400000002,21328.790399999998,10612.944,2838.6115200000004,5444.13312,4565.73888,9863.7696,14518.223999999998
1998-09-01,9107.510400000001,29821.7376,5626.6704,5626.6704,35661.3408,40662.6912,3118.27104,27404.6112,20714.227199999998,10324.5408,2414.18016,4664.93472,4430.16864,9414.4032,14030.496000000001
1998-10-01,8336.54592,27184.377600000003,5129.222400000001,5129.222400000001,32233.5936,50279.7024,2553.5088,24778.569600000003,18847.8144,9449.0496,2048.69088,3988.38816,4011.12864,8378.8992,12724.56
1998-11-01,8198.20224,26591.155199999997,5014.33632,5014.33632,31261.68,65198.9952,2336.84352,24070.3488,18392.9184,9293.0112,1943.6025599999998,3829.23072,3890.09952,7994.730240000001,12378.528
1998-12-01,7582.99968,24470.035200000002,4608.99936,4608.99936,28555.9776,64855.4688,2045.4768000000001,22036.924799999997,16887.052799999998,8600.67936,1764.56448,3515.0975999999996,3553.8739199999995,7196.99904,11327.904
1999-01-01,7249.54752,23280.3936,4378.129919999999,4378.129919999999,26996.284799999998,53959.0464,1857.70368,20880.0288,16030.828800000001,8227.673279999999,1663.64928,3348.57888,3361.19328,6711.90624,10717.4016
1999-02-01,7655.428800000001,24468.9984,4594.82112,4594.82112,28218.672,52272.864,1859.6736,21871.382400000002,16813.6128,8683.1136,1733.4,3517.53408,3515.00256,6920.389440000001,11203.574400000001
1999-03-01,6683.16096,21015.504,3915.03456,3915.03456,24283.2384,44813.8656,3427.71264,19114.3584,14332.3776,7506.2591999999995,2789.38944,3002.37408,3010.71168,5846.230079999999,9609.148799999999
1999-04-01,6492.66624,20392.3008,3798.8697599999996,3798.8697599999996,23784.537599999996,40511.3184,1544.10624,18416.5056,13899.686399999999,7328.39616,1577.26656,2878.7616000000003,2919.8016,5588.46432,9385.8048
1999-05-01,5923.1952,18512.928,3443.96448,3443.96448,21432.9888,33897.3984,1274.97024,16741.4688,12589.776000000002,6660.19584,1329.34176,2586.67776,2637.1008,4964.48352,8493.387840000001
1999-06-01,6085.566720000001,18561.4848,3422.93472,3422.93472,21284.8992,30595.1904,4281.86304,17772.9984,12475.9008,6623.968320000001,3491.19936,4794.69888,2628.3312,4898.5689600000005,8399.6352
1999-07-01,5643.2591999999995,17285.356799999998,3224.67264,3224.67264,20125.3248,26138.592,2834.6112,16448.9184,11642.0544,6189.19488,2480.59584,3404.3241599999997,2449.24128,4541.54688,7843.06368
1999-08-01,5531.09472,16766.8704,3115.34208,3115.34208,19361.0304,23279.4432,3097.12032,15784.156799999999,11235.801599999999,5978.9664,2653.00704,3839.54688,2335.84992,4289.64768,7466.230079999999
1999-09-01,5641.93728,17228.3328,3197.4998400000004,3197.4998400000004,19746.2016,21611.8368,2886.39072,16558.3008,11586.3264,6064.89984,2498.19552,5323.57056,2418.60384,4446.2995200000005,7388.43552
1999-10-01,5390.7724800000005,17066.0736,3166.30944,3166.30944,19218.211199999998,19126.9728,2019.8851200000001,16106.256,11675.3184,5802.00192,1844.1216,5969.73888,2408.7024,4484.99808,6880.4208
1999-11-01,5321.43648,17398.5408,3249.78048,3249.78048,19371.9168,24286.0032,1212.45984,15770.2464,12077.078399999999,5836.86432,1249.91424,3004.20576,2447.40096,4568.73696,6806.0304
1999-12-01,4933.6128,16152.7392,3004.2316800000003,3004.2316800000003,17830.9728,31550.342399999998,985.96224,14517.878400000001,11219.1264,5450.8032,1027.47744,2233.15488,2262.9456,4184.835840000001,6281.48736
2000-01-01,4729.38912,15426.4608,2864.19456,2864.19456,16949.8656,31220.8128,903.312,13824.604800000001,10697.097600000001,5241.51648,963.2217599999999,2098.64736,2153.088,3936.8419200000003,5982.871679999999
2000-02-01,4831.5484799999995,15696.633600000001,2910.2111999999997,2910.2111999999997,17185.3056,30083.9616,880.0272,14038.9632,10865.0592,5363.85888,972.5443200000001,2134.8316800000002,2184.39936,3946.76064,6074.61984
2000-03-01,4295.9376,13895.5392,2573.71776,2573.71776,15149.894400000001,25240.5504,739.9615679999999,12395.8944,9599.5584,4767.552,853.27776,1882.60416,1926.77184,3434.54688,5366.93472
2000-04-01,4200.69888,13519.699200000001,2502.9907200000002,2502.9907200000002,14656.3776,23332.8384,679.2232319999999,12010.2048,9318.931199999999,4652.7696,821.5499520000001,1819.5926399999998,1864.58976,3273.72192,5214.9312
2000-05-01,4724.352,14627.52,2655.5472,2655.5472,15284.3328,20286.2016,9400.4928,15189.8112,9903.168,4819.1328,6909.61536,11524.1184,1982.1456,3570.0307199999997,5401.71072
2000-06-01,7130.96352,21548.937599999997,3773.8656,3773.8656,21444.48,18969.0336,32150.304,26907.8112,14417.9136,6690.23712,18701.6256,24602.486399999998,2875.1587200000004,5662.9324799999995,7757.0352
2000-07-01,8315.29152,26097.033600000002,4671.06048,4671.06048,27583.977600000002,16714.5984,26587.440000000002,29091.0528,17781.8112,8242.83648,14683.766399999999,17386.0128,3794.5497600000003,8058.70944,10068.192
2000-08-01,8089.130880000001,26650.425600000002,4934.09664,4934.09664,30334.0032,15287.615999999998,11192.8608,25129.6128,18561.311999999998,8712.489599999999,6761.42208,8616.1968,4071.80736,8805.2832,11043.9072
2000-09-01,8110.73088,26766.2016,4960.4313600000005,4960.4313600000005,30579.724800000004,14523.062399999999,7561.831679999999,24543.0432,18655.4016,8871.206400000001,4585.96512,6341.73408,4083.40224,8755.8624,11376.4608
2000-10-01,7397.1273599999995,24588.662399999997,4585.8096,4585.8096,28058.572799999998,31672.079999999998,4085.96832,22155.638400000003,17191.5264,8248.77216,2516.06304,4219.03296,3735.99648,7895.612160000001,10623.139200000001
2000-11-01,7260.736319999999,24107.500799999998,4499.26272,4499.26272,27317.3472,97207.776,3188.4969600000004,21576.931200000003,16846.703999999998,8160.03072,1903.84992,3622.1299200000003,3636.3340799999996,7567.26624,10437.4656
2000-12-01,6717.159360000001,22207.5648,4140.936,4140.936,24988.176,128960.64,2706.32448,19783.7856,15490.3968,7571.90592,1628.73504,3241.00224,3326.13216,6821.582399999999,9579.945600000001
2001-01-01,6421.87008,21134.9088,3934.8028799999997,3934.8028799999997,23650.271999999997,85631.90400000001,2435.2358400000003,18768.0672,14713.056,7255.44864,1517.7456,3073.15296,3147.95808,6365.96928,9071.654400000001
2001-02-01,6781.00032,22214.1312,4129.07328,4129.07328,24742.886400000003,80214.9696,2421.3513599999997,19677.427200000002,15433.1136,7666.92864,1579.62528,3228.75936,3293.8099199999997,6566.996160000001,9490.6944
2001-03-01,5916.35232,19204.2144,3545.57952,3545.57952,21539.2608,78277.4496,4027.7433600000004,17795.2896,13287.887999999999,6684.552000000001,2574.70272,3582.1267199999998,2858.56992,5633.3232,8104.4496
2001-04-01,5746.031999999999,18695.3184,3465.0374399999996,3465.0374399999996,21302.4384,65331.0144,1880.9020799999998,17123.2704,12949.2864,6552.169919999999,1384.66368,2708.0006399999997,2783.02176,5415.370559999999,7877.32992
2001-05-01,5238.164159999999,16948.656,3139.1279999999997,3139.1279999999997,19188.3168,53026.444800000005,1588.3776,15437.7792,11710.483199999999,5951.3184,1192.2336,2406.2745600000003,2507.92416,4796.25408,7125.64128
2001-06-01,5101.099200000001,16412.543999999998,3038.87808,3038.87808,18457.631999999998,46484.6688,1434.27456,14866.5024,11311.401600000001,5772.470399999999,1134.65664,2306.48256,2412.288,4534.16832,6887.16864
2001-07-01,4652.00064,14884.387200000001,2755.70208,2755.70208,16621.9776,38594.188799999996,1213.60896,13403.8368,10232.351999999999,5247.90144,1014.97536,2075.00832,2171.88864,4012.32096,6234.131520000001
2001-08-01,5324.26176,15545.088,2810.82528,2810.82528,16992.4608,33508.425599999995,12053.491199999999,15229.814400000001,10220.8608,5384.38752,7668.74304,7819.0617600000005,2175.5952,4016.4163200000003,6668.51616
2001-09-01,5449.49856,16035.839999999998,3007.5667200000003,3007.5667200000003,18291.0528,30465.936,4448.23488,15051.6576,10586.3328,5695.76448,3222.27936,3883.4035200000003,2241.2592,4167.03744,7537.6656
2001-10-01,5085.00288,14934.0672,2800.63008,2800.63008,17003.8656,39442.5504,2295.3024,13704.422400000001,9848.9952,5381.7091199999995,1787.37408,2603.55168,2075.22432,3826.70784,7206.84
2001-11-01,5016.49632,14720.2272,2758.5964799999997,2758.5964799999997,16648.3296,46666.6272,1585.3276799999999,13397.9616,9703.7568,5361.1632,1214.23104,2160.93312,2034.18432,3707.8992000000003,7154.6975999999995
2001-12-01,4654.16064,13622.688,2548.31616,2548.31616,15553.296,44487.44640000001,1426.1961600000002,12454.3872,8968.4928,5016.7728,1077.22656,1947.17952,1884.0988799999998,3400.64352,6601.41792
2002-01-01,4460.3568,13023.2448,2431.5638400000003,2431.5638400000003,15030.3168,38660.0256,1242.71712,11887.0848,8562.870719999999,4837.93344,974.5487999999999,1861.4016000000001,1801.21536,3221.13024,6277.97088
2002-02-01,4723.64352,13752.633600000001,2563.8336,2563.8336,15798.758399999999,37826.4384,1249.3958400000001,12520.7424,9028.9728,5135.50368,1018.0252800000001,1966.5072,1895.4432,3351.10176,6597.17568
2002-03-01,4053.29184,11764.0512,2190.36096,2190.36096,13446.9504,30230.928,1008.78912,10676.6208,7710.776639999999,4409.8992,861.309504,1676.1340799999998,1614.8678400000001,2817.31392,5618.0304
2002-04-01,4476.63456,13056.163199999999,2376.69984,2376.69984,14929.574400000001,27699.84,7389.169919999999,12955.68,8579.53728,4779.967680000001,4905.56736,8191.368,1784.69568,3179.49408,5731.76736
2002-05-01,8235.48384,20633.8752,3355.3526399999996,3355.3526399999996,23486.2848,23926.2336,54770.688,28647.302400000004,12398.4,7105.1904,28560.816,28992.297599999998,2982.33792,6087.41568,8482.35456
2002-06-01,9253.008,26115.091200000003,4655.26656,4655.26656,35028.9792,22225.363200000003,31246.732799999998,31448.9952,16862.0832,9689.9328,16439.9328,15886.1088,4173.73344,9178.7904,12486.4416
2002-07-01,12949.2864,33778.8576,5372.2224,5372.2224,42434.1504,19463.5872,65249.0208,45515.520000000004,20829.5712,12672.1152,31492.886400000003,27599.9616,5698.157760000001,13302.057600000002,14267.0592
2002-08-01,20347.9776,48134.5632,6942.70656,6942.70656,54904.52159999999,17702.6688,80320.63680000001,60463.584,27786.672,17266.2624,38733.2064,37319.0112,7880.967360000001,19378.224000000002,18935.5104
2002-09-01,16900.6176,46282.1472,8049.231360000001,8049.231360000001,61819.9776,16889.558399999998,25367.904,42405.033599999995,29381.529599999998,17387.9136,14675.472,15358.7232,7566.4627199999995,17982.3456,21988.8
